point_id,name,point_type,lon,lat,nearest_station,connector_distance_m,connector_time_min
District:GRODZIEŃSKI,GRODZIEŃSKI,District,24.133408593047555,53.61995047734397,Grodno,21004.99894596005,315.0749841894007
District:GRUDZIĄDZKI,GRUDZIĄDZKI,District,18.963014701753632,53.479536231235606,Mełno,5282.4452471266795,79.2366787069002
District:GRÓDECKI,GRÓDECKI,District,23.687876437619696,49.86369325047553,Janów,7056.717673765272,105.85076510647906
District:GRÓJECKI,GRÓJECKI,District,20.927988049298964,51.853378793690084,Grójec,4380.322633950622,65.70483950925933
District:HOROCHOWSKI,HOROCHOWSKI,District,24.78597451440032,50.58642577485252,Sienkiewiczówka,18346.632723440336,275.19949085160505
District:HORODEŃSKI,HORODEŃSKI,District,25.38166799440437,48.72537061256319,Jasienów Polny,16566.129284578386,248.49193926867576
District:HRUBIESZOWSKI,HRUBIESZOWSKI,District,23.810557322237962,50.80306423209969,Gozdów,3340.305556553352,50.104583348300274
District:INOWROCŁAWSKI,INOWROCŁAWSKI,District,18.32450379574016,52.86561524139834,Inowrocław,10746.183093781578,161.19274640672364
District:IWACEWICKI,IWACEWICKI,District,25.389356943021323,52.628200273853274,Iwacewicze Wąskie Osobowe,9422.940667136234,141.3441100070435
District:IŁŻECKI,IŁŻECKI,District,21.38450787195395,51.120980227344354,Ostrowiec Świętokrzyski,19092.284546743183,286.3842682011478
District:JANOWSKI,JANOWSKI,District,22.227833931587966,50.84004979127024,Kraśnik,9442.367637012218,141.63551455518325
District:JAROCIŃSKI,JAROCIŃSKI,District,17.617907512166557,51.95946590569567,Twardów,1313.1568528212308,19.69735279231846
District:JAROSŁAWSKI,JAROSŁAWSKI,District,22.71955461036186,50.058585026593946,Jarosław,5541.535294176757,83.12302941265135
District:JASIELSKI,JASIELSKI,District,21.424970448655362,49.72511959747054,Jasło,5510.114085979407,82.6517112896911
District:JAWOROWSKI,JAWOROWSKI,District,23.332101138857873,49.965904590290485,Jaworów,5246.447671284789,78.69671506927183
District:JĘDRZEJOWSKI,JĘDRZEJOWSKI,District,20.257507407644656,50.65034668596931,Jędrzejów,1432.5993093913632,21.488989640870447
District:KALISKI,KALISKI,District,18.212829689824545,51.78444393004567,Opatówek,5007.23464785146,75.1085197177719
District:KAMIONECKI,KAMIONECKI,District,24.476425801732592,50.07299618195215,Sapieżanka,10228.304262787431,153.42456394181144
