station;coords;wiki_link
Bluszczów;49.992000, 18.326028;https://www.atlaskolejowy.net/pl/slaskie/?id=baza&poz=4653
Bobolice;53.957500, 16.595556;https://pl.wikipedia.org/wiki/Bobolice_(stacja_kolejowa)
Bobrujsk;53.137500, 29.195000;https://pl.wikipedia.org/wiki/Bobrujsk_(stacja_kolejowa)
Bochnia;49.977222, 20.431944;https://pl.wikipedia.org/wiki/Bochnia_(stacja_kolejowa)
Bogaczewo;54.100167, 19.573222;https://www.atlaskolejowy.net/pl/warminsko-mazurskie/?id=baza&poz=5716
Bogatynia;50.912222, 14.958611;https://pl.wikipedia.org/wiki/Bogatynia_(stacja_kolejowa)
Bogoria;50.651111, 21.250833;https://pl.wikipedia.org/wiki/Bogoria_(stacja_kolejowa)
Bogumin;49.901111, 18.359167;https://pl.wikipedia.org/wiki/Bohumín_(stacja_kolejowa)
Boguszów Gorce;50.750278, 16.201944;https://pl.wikipedia.org/wiki/Boguszów-Gorce_(stacja_kolejowa)
Boguszów Gorce Wschód;50.7479240,16.2217619;https://pl.wikipedia.org/wiki/Boguszów-Gorce_Wschód
Bojanowo;51.699444, 16.745278;https://pl.wikipedia.org/wiki/Bojanowo_(stacja_kolejowa)
Bolesławiec;51.266111, 15.571111;https://pl.wikipedia.org/wiki/Bolesławiec_(stacja_kolejowa)
Bolków;50.932500, 16.111111;https://pl.wikipedia.org/wiki/Bolków_(stacja_kolejowa)
Bolęcin;50.122500, 19.476667;https://pl.wikipedia.org/wiki/Bolęcin_(przystanek_kolejowy)
Boniewo;52.474167, 18.885833;https://pl.wikipedia.org/wiki/Boniewo_(stacja_kolejowa)
Boreczek;50.878889, 17.024722;https://pl.wikipedia.org/wiki/Boreczek_(stacja_kolejowa)
Borki Wielkie;49.530833, 25.755111;https://pl.wikipedia.org/wiki/Borki_Wielkie_(stacja_kolejowa)
Borne Sulinowo;53.585556, 16.530000;https://pl.wikipedia.org/wiki/Borne_Sulinowo_(stacja_kolejowa)
Borysław;49.296556, 23.42975;https://pl.wikipedia.org/wiki/Borysław_(stacja_kolejowa)
Borzykowo;52.205278, 17.654167;https://pl.wikipedia.org/wiki/Borzykowo_(przystanek_kolejowy)
Borzymy;53.819000, 22.677000;https://www.atlaskolejowy.net/pl/warminsko-mazurskie/?id=baza&poz=7855
Braniewo;54.380833, 19.841944;https://pl.wikipedia.org/wiki/Braniewo_(stacja_kolejowa)
Brasław;55.641306, 27.043556;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30376
Brochocin Trzebnicki;51.275556, 17.094722;https://pl.wikipedia.org/wiki/Brochocin_Trzebnicki_(przystanek_kolejowy)
Brodnica;53.263889, 19.405556;https://pl.wikipedia.org/wiki/Brodnica_(stacja_kolejowa)
Brody;50.0741, 25.1408;https://pl.wikipedia.org/wiki/Brody_(stacja_kolejowa)
Brody Wąskotorowe;52.434722, 16.2875;https://pl.wikipedia.org/wiki/Brody_Wąskotorowe
Broumov;50.580833, 16.339444;https://pl.wikipedia.org/wiki/Broumov_(stacja_kolejowa)
Brzeg;50.853333, 17.470556;https://pl.wikipedia.org/wiki/Brzeg_(stacja_kolejowa)
Brzezie nad Odrą;50.076944, 18.256667;https://pl.wikipedia.org/wiki/Brzezie_nad_Odrą
Brzezie Wąskotorowe;52.696389, 18.964444;https://pl.wikipedia.org/wiki/Brzezie_(przystanek_kolejowy)
Brzezinka;51.220000, 16.834444;https://pl.wikipedia.org/wiki/Brzezinka_Średzka_(stacja_kolejowa)
Brzeziny Śląskie;50.356475, 18.983172;https://pl.wikipedia.org/wiki/Brzeziny_Śląskie_(stacja_kolejowa)
Brześć Kujawski;52.605000, 18.898056;https://pl.wikipedia.org/wiki/Brześć_Kujawski_(stacja_kolejowa)
Brześć nad Bugiem;52.100472, 23.680500;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=9946
Brzeźno;54.405278, 18.656111;https://pl.wikipedia.org/wiki/Gdańsk_Brzeźno
Brzeźno Człuchowskie;53.6709018,17.4822016;https://pl.wikipedia.org/wiki/Brzeźno_Człuchowskie
Brzeźno Mazurskie;53.390833, 20.091389;https://pl.wikipedia.org/wiki/Brzeźno_Mazurskie_(stacja_kolejowa)
Brzostowiec;51.658611, 20.651944;https://pl.wikipedia.org/wiki/Brzostowiec_(przystanek_kolejowy)
Buczacz;49.060833, 25.373889;https://pl.wikipedia.org/wiki/Buczacz_(stacja_kolejowa)
Budowo;54.318333, 17.386111;https://pl.wikipedia.org/wiki/Budowo_(stacja_kolejowa)
Budy Dzierążeńskie;50.568619, 23.387222;https://www.atlaskolejowy.net/pl/lubelskie/?id=baza&poz=17656
Budziszewice Łódzkie;51.688472, 19.899611;https://www.atlaskolejowy.net/pl/lodzkie/?id=baza&poz=3094
Bukowa Śląska;51.101667, 17.824722;https://pl.wikipedia.org/wiki/Bukowa_Śląska_(stacja_kolejowa)
Bukowina Sycowska;51.388056, 17.583333;https://pl.wikipedia.org/wiki/Bukowina_Sycowska_(przystanek_kolejowy)
Bukowno;50.263889, 19.461667;https://pl.wikipedia.org/wiki/Bukowno_(stacja_kolejowa)
Bydgoszcz;53.1219648,18.0002529;https://pl.wikipedia.org/wiki/Bydgoszcz
Bydgoszcz Wschód;53.1278962,18.0838582;https://pl.wikipedia.org/wiki/Bydgoszcz_Wschód_(stacja_kolejowa)
Bydgoszcz Wąskotorowa;53.135556, 17.950556;https://pl.wikipedia.org/wiki/Bydgoszcz_Wąskotorowa
Byków Wąskotorowy;50.419444, 23.763056;https://pl.wikipedia.org/wiki/Byków_(stacja_kolejowa)
Bystrzyca Kłodzka;50.296667, 16.654722;https://pl.wikipedia.org/wiki/Bystrzyca_Kłodzka_(przystanek_kolejowy)
Bytom;50.343333, 18.915000;https://pl.wikipedia.org/wiki/Bytom_(stacja_kolejowa)
Bytom Dąbrowa Miejska;50.386944, 18.868333;https://pl.wikipedia.org/wiki/Dąbrowa_Miejska_(przystanek_kolejowy)
Bytom Karb;50.351389, 18.882500;https://pl.wikipedia.org/wiki/Bytom_Karb
Bytom Nowy Karb;50.352222, 18.880000;https://www.atlaskolejowy.net/pl/slaskie/?id=baza&poz=7312
Bytom Rozbark;50.342500, 18.932222;https://pl.wikipedia.org/wiki/Bytom_Rozbark
Bytom Zachodni;50.348194, 18.915028;https://www.atlaskolejowy.net/pl/slaskie/?id=baza&poz=15648
Bytów;54.162500, 17.486111;https://pl.wikipedia.org/wiki/Bytów_(stacja_kolejowa)
Bzowo Goraj;52.861944, 16.481944;https://pl.wikipedia.org/wiki/Bzowo_Goraj
Bátyú;48.361389, 22.385833;https://pl.wikipedia.org/wiki/Batiowo_(stacja_kolejowa)
Bąk;53.944444, 18.026667;https://pl.wikipedia.org/wiki/Bąk_(stacja_kolejowa)
Bąkowiec;51.517500, 21.723611;https://pl.wikipedia.org/wiki/Bąkowiec_(stacja_kolejowa)
Będzin;50.309167, 19.141389;https://pl.wikipedia.org/wiki/Będzin_(stacja_kolejowa)
