line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_e18a6e9749;Kuźnice Świdnickie;Szczawno Zdrój;1877-01-01;;false;;Lijewski;Poprawione wg. Pod-Semaforkiem
L_d732ea6b31;Boguszów Gorce Wschód;Kuźnice Świdnickie;1877-01-01;;false;;Lijewski;Poprawione wg. Pod-Semaforkiem
L_70d8ccf849;Boguszów Gorce Wschód;Mieroszów;1914-01-01;;true;;Semaforek;
L_2b0607ec7b;Mezimesti;Mieroszów;1914-01-01;;true;;Semaforek;
L_638cff58a1;Ciechanów;Mława;1877-01-01;;false;;Bissaga;
L_b07a15cc96;Ciechanów;Nasielsk;1877-01-01;;false;;Bissaga;
L_6cdcc9152e;Nasielsk;Nowy Dwór Mazowiecki;1877-01-01;;false;;Bissaga;
L_3b9ad02c6e;Legionowo;Nowy Dwór Mazowiecki;1877-01-01;;false;;Bissaga;
L_c6229dec65;Legionowo;Warszawa Gdańska;1877-01-01;;false;;Bissaga;
L_0b42039003;Warszawa Gdańska;Wawer Wąskotorowy;1877-01-01;;false;;Bissaga;
L_aa75c1f665;Otwock;Wawer Wąskotorowy;1877-01-01;;false;;Bissaga;
L_4d3fcbb8b3;Otwock;Pilawa;1877-01-01;;false;;Bissaga;
L_665c8cad0b;Garwolin;Pilawa;1877-01-01;;false;;Bissaga;
L_69d56f0147;Dęblin;Garwolin;1877-01-01;;false;;Bissaga;
L_c7e88f45ca;Dęblin;Puławy;1877-01-01;;false;;Bissaga;
L_e679660b4e;Nałęczów;Puławy;1877-01-01;;false;;Bissaga;
L_ad971d16f3;Lublin;Nałęczów;1877-01-01;;false;;Bissaga;
L_0329d65459;Lublin;Rejowiec;1877-01-01;;false;;Bissaga;
L_51295fbb3d;Chełm;Rejowiec;1877-01-01;;false;;Bissaga;
L_9e2ff4a2ef;Chełm;Dorohusk;1877-01-01;;false;;Bissaga;
L_3d13bf297d;Dorohusk;Luboml;1877-01-01;;false;;Bissaga;
L_5721dde83a;Kowel;Luboml;1877-01-01;;false;;Bissaga;
L_af0852c146;Działdowo;Mława;1877-01-01;;false;;Lijewski;
L_857c21f4e7;Jankowo Pomorskie;Runowo;1877-01-01;;false;;Lijewski;
L_b77b052185;Drawsko Pomorskie;Jankowo Pomorskie;1877-01-01;;false;;Lijewski;
L_28ab5542af;Brzeźno Człuchowskie;Chojnice;1877-01-01;;false;;Lijewski;Stacja pośrednia Brzeźno Człuchowskie dodana na podstawie Atlasu Kolejowego (https://www.atlaskolejowy.net/pl/pomorskie/?id=linia&poz=764).
L_6d639bbf74;Brzeźno Człuchowskie;Człuchów;1877-01-01;;false;;Lijewski;Stacja pośrednia Brzeźno Człuchowskie dodana na podstawie Atlasu Kolejowego (https://www.atlaskolejowy.net/pl/pomorskie/?id=linia&poz=764).
L_d67119e65a;Drawsko Pomorskie;Złocieniec;1877-01-01;;false;;Lijewski;
L_7e1b47780a;Czaplinek;Złocieniec;1877-01-01;;false;;Lijewski;
L_529e39d880;Czarne;Człuchów;1878-01-01;;false;;Lijewski;
L_aa6d23dd15;Czarne;Szczecinek;1878-01-01;;false;;Lijewski;
L_2c6c2a6789;Szczecinek;Łubowo;1878-01-01;;false;;Lijewski;
L_e81760f70e;Czaplinek;Łubowo;1878-01-01;;false;;Lijewski;
L_ea47a575b9;Bielsko Biała;Żywiec;1878-01-01;;false;;Lijewski;
L_38885db4ec;Opole Groszowice;Strzelce Opolskie;1878-01-01;;false;;Lijewski;
L_03b5fb757e;Szczecinek;Słosinko;1878-01-01;;false;;Lijewski;Słosinko dodane na podstawie Pod-Semaforkiem
L_d30e3d4058;Miastko;Słosinko;1878-01-01;;false;;Lijewski;Słosinko dodane na podstawie Pod-Semaforkiem
L_888511ab2f;Korzybie;Miastko;1878-01-01;;false;;Lijewski;Słosinko dodane na podstawie Pod-Semaforkiem
L_9e034ca13c;Korzybie;Słupsk;1878-01-01;;false;;Lijewski;Słosinko dodane na podstawie Pod-Semaforkiem
L_78afdce889;Słupsk;Ustka;1878-01-01;;false;;Lijewski;Słosinko dodane na podstawie Pod-Semaforkiem
L_53d6353e13;Korzybie;Sławno;1878-01-01;;false;;Lijewski;
L_954ae04ac9;Darłowo;Sławno;1878-01-01;;false;;Lijewski;
L_116c8aeaaa;Grzmiąca;Szczecinek;1878-01-01;;false;;Lijewski;
L_0d0738640c;Białogard;Grzmiąca;1878-01-01;;false;;Lijewski;
L_582eae1618;Jabłonowo Pomorskie;Mełno;1878-01-01;;false;;Lijewski;
L_90f4be4fb9;Grudziądz;Mełno;1878-01-01;;false;;Lijewski;
L_d2d87548a1;Darkehmen;Insterburg;1878-01-01;;false;;Semaforek;
L_1edb445adb;Darkehmen;Gołdap;1878-01-01;;false;;Lijewski;Derkehmen to dzisiaj Oziersk
L_86c79d9bc7;Oborniki Wielkopolskie;Poznań;1879-01-01;;false;;Lijewski;
L_5746cebb68;Oborniki Wielkopolskie;Rogoźno;1879-01-01;;false;;Lijewski;
L_29a2c241a2;Chodzież;Rogoźno;1879-01-01;;false;;Lijewski;
L_e5e42a108f;Chodzież;Piła;1879-01-01;;false;;Lijewski;
L_35b699af8d;Piła;Płytnica;1879-01-01;;false;;Lijewski;
L_96b50d8342;Jastrowie;Płytnica;1879-01-01;;false;;Lijewski;
L_edca7ee2a2;Jastrowie;Szczecinek;1879-01-01;;false;;Lijewski;
L_fd2b5ea18c;Strzelce Opolskie;Toszek;1879-01-01;;false;;Lijewski;
L_73fd9491b6;Gołdap;Olecko;1879-01-01;;false;;Lijewski;
L_e57d8001b8;Ełk;Olecko;1879-01-01;;false;;Lijewski;
L_79d8a64faf;Pyskowice;Toszek;1879-01-01;;false;;Lijewski;
L_0aa8cd43b0;Kłodzko;Ścinawka Średnia;1879-01-01;;false;;Lijewski;
L_07f37a5612;Nowa Ruda;Ścinawka Średnia;1879-01-01;;false;;Lijewski;
L_f5b9753d63;Grudziądz;Laskowice Pomorskie;1879-01-01;;false;;Lijewski;
L_8bf3d6fcab;Tanvald;Železny Brod;1879-01-01;;false;;Semaforek;
L_4041d2efac;Gliwice Łabędy;Pyskowice;1880-01-01;;false;;Lijewski;
L_88a636f815;Pyskowice;Zabrze Biskupice;1880-01-01;;false;;Lijewski;
L_d1b2927bd3;Jedlina Zdrój;Wałbrzych;1880-01-01;;false;;Lijewski;
L_66a3e69fd7;Jedlina Zdrój;Nowa Ruda;1880-01-01;;false;;Lijewski;
L_29d7f536c3;Milotice nad Opavou;Vrbno pod Pradedem;1880-01-01;;false;;Semaforek;
L_d9a4d587bc;Piła;Wałcz;1881-01-01;;false;;;
L_ad8b87aaeb;Grodzisk Wielkopolski;Opalenica;1881-01-01;;false;;Lijewski;
L_c15431efb7;Goleniów;Szczecin Dąbie;1882-01-01;;false;;Lijewski;
L_b21dd9fa26;Goleniów;Nowogard;1882-01-01;;false;;Lijewski;
L_96a52c48f9;Nowogard;Wyszogóra;1882-01-01;;false;;Lijewski;
L_a8d9fb3b8d;Płoty;Wyszogóra;1882-01-01;;false;;Lijewski;
L_fa85ecebc4;Gryfice;Płoty;1882-01-01;;false;;Lijewski;
L_a1828cfd4d;Jelenia Góra;Mysłakowice;1932-01-01;;true;;Semaforek;
L_811f71e938;Kowary;Mysłakowice;1932-01-01;;true;;Semaforek;
L_df3c10236a;Gryfice;Trzebiatów;1882-01-01;;false;;Lijewski;
L_ee5c27e8c1;Kołobrzeg;Trzebiatów;1882-01-01;;false;;Lijewski;
L_239ddfa7ff;Chełmża;Toruń Mokre;1882-01-01;;false;;Lijewski;
L_a4eaf95a40;Pyrzyce;Stargard Szczeciński;1882-01-01;;false;;Lijewski;
L_71e5266d07;Myślibórz;Pyrzyce;1882-01-01;;false;;Lijewski;
L_e1164f4389;Dębno Lubuskie;Myślibórz;1882-01-01;;false;;Lijewski;
L_072022bd83;Dębno Lubuskie;Kostrzyn;1882-01-01;;false;;Lijewski;
L_49c3448ab8;Inowrocław;Inowrocław Mątwy;1882-01-01;;false;;Lijewski;
L_930e04f653;Chełmża;Kornatowo;1882-01-01;;false;;Lijewski;
L_df5fa6ff22;Grudziądz;Kornatowo;1882-01-01;;false;;Lijewski;
L_276593aa17;Bogaczewo;Pasłęk;1882-01-01;;false;;Lijewski;
L_e13530fc99;Małdyty;Pasłęk;1882-01-01;;false;;Lijewski;
L_4ffe20329e;Małdyty;Morąg;1882-01-01;;false;;Lijewski;
L_9bfbca394a;Kralovec;Žacléř;1882-01-01;;false;;Semaforek;
L_4c66cfc282;Niedobczyce;Radlin;1882-01-01;;false;;Lijewski;
L_94f2e54d4b;Radlin;Wodzisław Śląski;1882-01-01;;false;;Lijewski;
L_aeb35c2daa;Olza;Wodzisław Śląski;1882-01-01;;false;;Lijewski;
L_89a51c12b5;Chałupki;Olza;1882-01-01;;false;;Lijewski;
L_111ff10a4e;Kobryń;Żabinka;1882-01-01;;false;;Semaforek;
L_864d884ce0;Kamień Poleski;Kobryń;1882-01-01;;false;;Semaforek;
L_3739056f8e;Drohiczyn;Kamień Poleski;1882-01-01;;false;;Semaforek;
L_499b5d39eb;Drohiczyn;Janów Poleski;1882-01-01;;false;;Semaforek;
