line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_9342cf9bcf;Pleszew Miasto;Pleszew Wąskotorowy;1901-01-01;;false;;Lijewski;
L_b68f6f569a;Lipusz;Ugoszcz;1901-01-01;;false;;Lijewski;
L_5916d75fa4;Warszawa Stalowa;Warszawa Targówek;1951-01-01;;false;750.0;;
L_419eceeed0;Grodzisk Wielkopolski;Ujazd Wielkopolski;1901-01-01;;false;;Lijewski;
L_601e57166e;Kościan;Ujazd Wielkopolski;1901-01-01;;false;;Lijewski;
L_b93d269083;Starogród;Unisław Pomorski;1901-01-01;;false;;Lijewski;
L_f71735d88a;Chełmża;Mełno;1901-01-01;;false;;Lijewski;
L_7ba330e559;Liszkowo Rozgraniczenie;Radzicz Rozgraniczenie;1901-01-01;;false;600.0;Lijewski;
L_9a948198a3;Nieżychowo Zakłady Przemysłowe;Radzicz Rozgraniczenie;1901-01-01;;false;600.0;Lijewski;
L_665ceb842f;Mościska;Wysoka Wąskotorowa;1901-01-01;;false;;Lijewski;
L_a63743afd3;Gołubie Kaszubskie;Kościerzyna;1901-01-01;;false;;Lijewski;
L_d2bb60f084;Gołubie Kaszubskie;Somonino;1901-01-01;;false;;Lijewski;
L_e735ee38ed;Kartuzy;Somonino;1901-01-01;;false;;Lijewski;
L_96febd6354;Poznań Malta;Poznań Wschodni;1902-01-01;;false;;Lijewski;
L_3968ca3f12;Poznań Kobylepole;Poznań Malta;1902-01-01;;false;;Lijewski;
L_50c0e39f52;Połażejewo;Środa Wielkopolska Miasto;1953-01-01;;false;750.0;Semaforek;
L_aaa9283736;Poznań Kobylepole;Połażejewo;1953-01-01;;false;750.0;Semaforek;
L_2a0c488584;Chojnice;Lipusz;1902-01-01;;false;;Lijewski;
L_81519f9100;Chełmno;Starogród;1902-01-01;;false;;Lijewski;
L_6a723825f6;Iława;Nowe Miasto Lubawskie;1902-01-01;;false;;Lijewski;
L_a651fa65f3;Nowe Miasto Lubawskie;Szramowo;1902-01-01;;false;;Lijewski;
L_14d314e785;Skórcz;Smętowo;1902-01-01;;false;;Lijewski;
L_ae912896ee;Twardów;Witaszyce;1902-01-01;;false;600.0;Lijewski;
L_aea0ac42c9;Sucha Wąskotorowa;Twardów;1902-01-01;;false;600.0;Lijewski;
L_c6ac362ef0;Komorze;Sucha Wąskotorowa;1902-01-01;;false;600.0;Lijewski;
L_9e45a953cb;Robaków;Sucha Wąskotorowa;1902-01-01;;false;600.0;Lijewski;
L_cdbaeebba7;Warszawa Gołąbki;Warszawa Kaliska;1902-01-01;;false;;Lijewski;
L_9992de9f60;Błonie;Warszawa Gołąbki;1902-01-01;;false;;Lijewski;
L_b4f9e5b493;Błonie;Sochaczew;1902-01-01;;false;;Lijewski;
L_176bec2036;Sochaczew;Łowicz Przedmieście;1902-01-01;;false;;Lijewski;
L_6644fd996b;Zgierz;Łowicz Przedmieście;1902-01-01;;false;;Lijewski;
L_f7fdfd5eff;Zgierz;Łódź Kaliska;1902-01-01;;false;;Lijewski;
L_dc8b70cd35;Pabianice;Łódź Kaliska;1902-01-01;;false;;Lijewski;
L_ec2b5e950f;Pabianice;Zduńska Wola;1902-01-01;;false;;Lijewski;
L_abe4e5e71e;Sieradz;Zduńska Wola;1902-01-01;;false;;Lijewski;
L_18da954562;Kalisz;Sieradz;1902-01-01;;false;;Lijewski;
L_b15ad98694;Łowicz;Łowicz Przedmieście;1902-01-01;;false;;;
L_c87bf75983;Bednary;Łowicz;1902-01-01;;false;;;
L_21847f608c;Prusewo;Wejherowo;1902-01-01;;false;;Lijewski;
L_e4d41a2d23;Lubicz;Toruń Mokre;1902-01-01;;false;;Lijewski;
L_2397e38653;Antonówka;Kowel;1902-01-01;;false;;Semaforek;
L_b8b383ac3e;Antonówka;Sarny;1902-01-01;;false;;Semaforek;
L_b50d310a0c;Ostki;Sarny;1902-01-01;;false;;Semaforek;
L_07d49d84de;Korosten;Ostki;1902-01-01;;false;;Semaforek;
L_fcd5f86ead;Skórcz;Starogard Gdański;1903-01-01;;false;;Lijewski;
L_ae6379fc90;Jaworzno Miasto;Szczakowa;1903-01-01;;false;;Lijewski;
L_8de80401e3;Lwów;Sambor;1903-01-01;;false;;Semaforek;
L_5ee49384b4;Puck;Swarzewo;1903-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, w bazie Pod-Semaforkiem pojawia się stacja pośrednia Swarzewo.
L_61abf0bc10;Krokowa;Swarzewo;1903-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, w bazie Pod-Semaforkiem pojawia się stacja pośrednia Swarzewo.
L_7111c49957;Domachowo;Gostyń;1903-01-01;;false;;Lijewski;
L_b83e828550;Domachowo;Krobia;1903-01-01;;false;;Lijewski;
L_035971c7a2;Gostkowo;Krobia;1903-01-01;;false;;Lijewski;
L_106d8c6630;Domachowo;Karzec;1903-01-01;;false;;Lijewski;
L_e7535f1fb9;Rudniki;Sędziny;1903-01-01;;false;;Lijewski;
L_ec83e8c519;Janów;Jaworów;1903-01-01;;false;;;
L_60889718a3;Łódź Chojny;Łódź Kaliska;1903-01-01;;false;;Lijewski;
L_f20958ecd9;Łódź Chojny;Łódź Widzew;1903-01-01;;false;;Lijewski;
L_8a9a234085;Ruda Bielszowice;Zabrze Makoszowy;1904-01-01;;false;;;
L_1e647e5d2e;Piotrków Trybunalski;Sulejów Pilica;1904-01-01;;false;750.0;Lijewski;
L_1c87266ff6;Nowy Targ;Podczerwone;1904-01-01;;false;;Lijewski;
L_24a129575a;Podczerwone;Sucha Góra;1904-01-01;;false;;Lijewski;
L_bd5eb144f4;Kańczuga;Przeworsk;1951-01-01;;false;750.0;Semaforek;
L_92a08f6209;Dynów;Kańczuga;1951-01-01;;false;750.0;Semaforek;
L_ccb7ea4c17;Ruda Bielszowice;Ruda Kochłowice;1904-01-01;;false;;LIjewski;
L_209ec52293;Katowice Ligota;Ruda Kochłowice;1904-01-01;;false;;LIjewski;
L_0e13f5eb21;Nowe;Twarda Góra;1904-01-01;;false;;Lijewski;
L_54b6de8553;Sambor;Strzyłki Topolnica;1904-01-01;;false;;Semaforek;
L_54d7b895b2;Gniew;Morzeszczyn;1905-01-01;;false;;Lijewski;
L_cfe341aaf5;Pleszew;Pleszew Miasto;1905-01-01;;false;750.0;;
L_7320b1de31;Sulechów;Wolsztyn;1905-01-01;;false;;Lijewski;
L_b2657b562a;Skarszewy;Starogard Gdański;1905-01-01;;false;;Lijewski;
L_f31d7870a5;Trzcianka Zachodnia;Śliwno;1905-01-01;;false;750.0;Lijewski;
L_78b1ba89ad;Duszniki Wielkopolskie;Śliwno;1905-01-01;;false;750.0;Lijewski;
L_437eded51f;Rakoniewice;Wolsztyn;1905-01-01;;false;;Lijewski;
L_963869216e;Grodzisk Wielkopolski;Rakoniewice;1905-01-01;;false;;Lijewski;
L_8aa2549dc6;Strzyłki Topolnica;Turka;1905-01-01;;false;;;
L_9bec1a48d1;Sianki;Turka;1905-01-01;;false;;;
L_6d8ab695d2;Pastwa Południowa;Wielkie Walichnowy;1905-01-01;;false;750.0;;
L_1f33a78e54;Poznań Wschodni;Sława Wielkopolska;1905-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, w bazie Pod-Semaforkiem pojawia się stacja pośrednia Sława Wielkopolska.
L_eb5a0dea21;Skoki;Sława Wielkopolska;1905-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, w bazie Pod-Semaforkiem pojawia się stacja pośrednia Sława Wielkopolska.
L_238feaff31;Janowiec Wielkopolski;Skoki;1905-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, w bazie Pod-Semaforkiem pojawia się stacja pośrednia Sława Wielkopolska.
L_11c035061c;Kartuzy;Sierakowice;1905-01-01;;false;;Lijewski;
L_a77109f860;Lębork;Sierakowice;1905-01-01;;false;;Lijewski;
L_f102a9e617;Antonówka Wąska;Chinocze;1905-01-01;;false;750.0;Atlas Kolejowy;
L_dab374400a;Chinocze;Cichowierz;1905-01-01;;false;750.0;Atlas Kolejowy;
L_1aaf16600e;Chinocze;Dąbrowica Wąska;1905-01-01;;false;750.0;Atlas Kolejowy;
L_5d3bf6718b;Ruda Kochłowice;Ruda Wschodnia Wąskotorowa;1906-01-01;;false;;Lijewski;
L_75efe93ec7;Ruda Chebzie;Ruda Wschodnia Wąskotorowa;1906-01-01;;false;;Lijewski;
L_9b50f15bff;Tarnopol;Zbaraż;1906-01-01;;false;;Semaforek;
L_3ef9efdaf3;Książ Wielkopolski;Mieszków;1906-01-01;;false;;Atlas Kolejowy;Lijewski podaje błędnie Jarocin-Książ, natomiast nie było takiej linii.
L_8ca38e4d38;Laskowice Pomorskie;Szlachta;1906-01-01;;false;;Lijewski;
L_07bb3eb37c;Czersk;Szlachta;1906-01-01;;false;;Lijewski;
L_870d02c937;Więcbork;Złotów;1906-01-01;;false;;Lijewski;
L_7cff3cac19;Dąbrowa Tarnowska;Tarnów;1906-01-01;;false;;Lijewski;
L_4b83331972;Dąbrowa Tarnowska;Szczucin koło Tarnowa;1906-01-01;;false;;Lijewski;
L_0aa86cb5f8;Kalisz;Skalmierzyce;1906-01-01;;false;;Lijewski;
L_0e8e439891;Kolsko;Wolsztyn;1906-01-01;;false;;Lijewski;
L_1786cfdc94;Książ Wielkopolski;Śrem;1906-01-01;;false;;Atlas Kolejowy;
L_9d9179c24c;Siedlce;Siemiatycze;1906-01-01;;false;;Lijewski;
L_a68ab13390;Czeremcha;Siemiatycze;1906-01-01;;false;;Lijewski;
L_974f469fc0;Czeremcha;Hajnówka;1906-01-01;;false;;Lijewski;
L_ea86e74aab;Hajnówka;Siemianówka;1906-01-01;;false;;Lijewski;
L_879ec61a02;Andrzejewicze;Siemianówka;1906-01-01;;false;;Lijewski;
L_2f44f9c81d;Chrzypsko;Międzychód;1907-01-01;;false;;Lijewski;
L_3de43e9832;Binino;Szamotuły;1907-01-01;;false;;Lijewski;
L_c6f57626ee;Legionowo;Wieliszew;1907-01-01;;false;;Lijewski;
L_38a39bf8f3;Wieliszew;Zegrze;1907-01-01;;false;;Lijewski;
L_0b06e91e89;Mosty;Wołkowysk;1907-01-01;;false;;Semaforek;
L_f743106166;Lida;Mosty;1907-01-01;;false;;Semaforek;
L_40ef3792c4;Lida;Mołodeczno;1907-01-01;;false;;Semaforek;
L_350d1b515a;Królewszczyzna;Mołodeczno;1907-01-01;;false;;Semaforek;
L_a890169206;Królewszczyzna;Zahacie;1907-01-01;;false;;Semaforek;
L_923f141c76;Polock;Zahacie;1907-01-01;;false;;Semaforek;
L_0f7753546b;Grodno;Mosty;1907-01-01;;false;;Semaforek;
L_5a33b00540;Smólsk;Włocławek;1922-01-01;;false;750.0;Semaforek;
L_7bc83f5e1a;Brześć Kujawski;Smólsk;1922-01-01;;false;750.0;Semaforek;
L_005ba9c8aa;Binino;Nojewo;1908-01-01;;false;;Lijewski;
L_12932ae117;Chrzypsko;Nojewo;1908-01-01;;false;;Lijewski;
